datetime,open,high,low,close,vwap,cum_volume,cum_ticks,cum_dollar_value
2018-10-19 16:27:14.105197056,218.53,218.63,217.65,217.7973,218.18770469387346,571724.0,5000.0,124743147.27840011
2018-10-19 16:34:24.934388224,217.7684,218.249,217.66,217.77,218.0006498401052,492196.0,5000.0,107299047.84870042
2018-10-19 16:40:09.615864064,217.76,218.06,217.53,217.78,217.76949064718644,403964.0,5000.0,87971034.51980002
2018-10-19 16:47:18.593165056,217.78,218.65,217.43,218.61,218.12095111082928,504668.0,5000.0,110078664.15519999
2018-10-19 16:55:49.468959744,218.61,219.22,218.18,219.16,218.59374117362913,463724.0,5000.0,101367164.03199999
2018-10-19 17:06:50.897049600,219.16,219.36,218.28,219.006,218.9958775040093,573680.0,5000.0,125633555.00650005
2018-10-19 17:15:46.869450240,218.99,219.46,218.33,219.2948,218.90271462459188,415068.0,5000.0,90859511.9538001
2018-10-19 17:25:29.609012736,219.32,219.83,219.0179,219.83,219.52434069099354,449613.0,5000.0,98700997.39109968
2018-10-19 17:34:49.800460544,219.83,220.14,219.37,219.9877,219.81388422844884,498613.0,5000.0,109602060.25679956
2018-10-19 17:45:01.141047296,219.9868,220.0,218.3194,219.27,219.5361884757102,544667.0,5000.0,119574117.16849965
2018-10-19 18:00:35.008726784,219.27,219.55,218.85,219.0346,219.20930437550447,511621.0,5000.0,112152083.51389997
2018-10-19 18:07:34.594939648,219.0346,219.09,217.85,218.07,218.41018783070479,432523.0,5000.0,94467429.67109993
2018-10-19 18:17:58.839123712,218.0433,218.7,217.91,218.285,218.3347482218056,505344.0,5000.0,110334155.00540012
2018-10-19 18:26:06.178326272,218.27,218.98,218.07,218.88,218.5750915973875,393699.0,5000.0,86052794.98679987
2018-10-19 18:37:38.206562048,218.88,218.93,218.4,218.84,218.69038101496375,389275.0,5000.0,85130698.06960002
2018-10-19 18:49:34.909356800,218.84,219.18,218.51,219.12,218.85839745457616,384926.0,5000.0,84244287.49860018
2018-10-19 18:59:23.664809984,219.12,219.44,218.78,218.7893,219.20740714485385,418693.0,5000.0,91780606.9197003
2018-10-19 19:09:10.117138432,218.8,219.2,218.77,219.0898,219.0081009712083,583706.0,5000.0,127836342.58550012
2018-10-19 19:18:00.165549312,219.08,219.4,218.9,218.95,219.19077462177836,424222.0,5000.0,92985548.79160006
2018-10-19 19:24:54.919317248,218.95,219.66,218.95,219.07,219.3552362093031,432654.0,5000.0,94904920.36689982
2018-10-19 19:29:24.074929408,219.08,219.93,219.0,219.84,219.53207032505267,382983.0,5000.0,84077050.88929965
2018-10-19 19:34:27.018796032,219.84,220.05,219.55,219.84,219.79242213556586,395558.0,5000.0,86940650.91510016
2018-10-19 19:39:59.476119040,219.85,220.0,219.51,219.71,219.76720997615135,352230.0,5000.0,77408604.3698998
2018-10-19 19:44:51.357315584,219.69,219.89,219.56,219.81,219.72842415497632,427059.0,5000.0,93837001.09120004
2018-10-19 19:49:56.872654848,219.81,220.07,219.7,219.92,219.80669863108162,715967.0,5000.0,157374342.59879962
2018-10-19 19:53:22.925405184,219.91,220.21,219.71,220.14,220.0124157434934,486709.0,5000.0,107082022.85409993
2018-10-19 19:55:58.463673088,220.14,220.175,219.6,219.7,219.8789304306591,464985.0,5000.0,102240404.46630003
2018-10-19 19:59:07.040250368,219.7,219.78,219.41,219.45,219.5958064466441,442106.0,5000.0,97084623.60490003
2018-10-22 12:00:02.954378752,219.0,221.48,219.0,221.22,220.85425880256514,106344.0,722.0,23486525.298099987
2018-10-22 13:31:55.437275904,221.2,221.45,218.8,220.46,219.93593521575437,1159004.0,5000.0,254906628.65880018
2018-10-22 13:35:33.069203456,220.46,221.09,220.42,220.48,220.75015284778738,493699.0,5000.0,108984129.71079978
2018-10-22 13:39:48.420057088,220.5,221.0,219.66,220.425,220.6709993541308,447459.0,5000.0,98741224.70000002
2018-10-22 13:44:38.678620160,220.4,220.87,220.0,220.69,220.40064916824844,436188.0,5000.0,96136118.35939994
2018-10-22 13:48:53.802426624,220.68,221.07,219.66,221.07,220.7773136259058,524178.0,5000.0,115726610.70180005
2018-10-22 13:52:02.458726400,221.08,221.23,220.04,220.05,220.75309021532826,429161.0,5000.0,94738616.9499005
2018-10-22 13:55:47.618604288,220.05,220.493,219.8,219.92,220.03020091452981,446568.0,5000.0,98258446.76199976
