datetime,open,high,low,close,vwap,cum_volume,cum_ticks,cum_dollar_value,cum_buy_ticks,cum_sell_ticks,cum_buy_volume,cum_sell_volume,cum_buy_dollar_value,cum_sell_dollar_value
2018-01-03 20:51:57.967772928,270.49,270.57,270.45,270.56,270.5120971958738,961583.0,2994.0,260119833.95789996,343.0,324.0,126639.0,126253.0,34258146.652899995,34153222.51499999
2018-01-03 20:54:54.040001024,270.56,270.62,270.55,270.61,270.585632703993,961271.0,2887.0,260106121.73500004,325.0,313.0,147519.0,90685.0,39917291.9942,24537940.760799997
2018-01-03 20:57:05.730928128,270.61,270.615,270.53,270.55,270.5607506821811,961255.0,3053.0,260077874.39699998,270.0,285.0,88293.0,98809.0,23889031.431300007,26733063.9023
2018-01-03 20:58:07.100646912,270.55,270.56,270.5,270.52,270.54100347082766,961154.0,2032.0,260031567.64999992,170.0,174.0,95232.0,79617.0,25764592.05,21539643.355
2018-01-03 20:59:03.395831040,270.52,270.53,270.48,270.5,270.50590451036607,961208.0,2393.0,260012439.46259996,269.0,286.0,87676.0,114455.0,23717074.772699997,30960597.854899988
2018-01-03 20:59:32.021911040,270.5,270.51,270.45,270.49,270.4743700514798,961156.0,2284.0,259968063.6212001,239.0,248.0,84302.0,126649.0,22801852.8071,34254659.899100006
2018-01-03 20:59:57.682861056,270.49,270.54,270.39,270.4,270.4783476493324,972511.0,2330.0,263043168.35079995,247.0,255.0,101809.0,104604.0,27537197.740800004,28292074.765
2018-01-04 14:30:07.746799104,271.2,271.23,271.18,271.2,271.2129269040645,218480.0,449.0,59254600.27000001,73.0,72.0,32562.0,35260.0,8831059.520000001,9563093.07
2018-01-04 14:33:59.703074048,271.2,271.38,271.1,271.37,271.23402243580404,1010229.0,2738.0,274008475.25129986,405.0,384.0,147735.0,150832.0,40072460.27080001,40908972.935499996
2018-01-04 14:36:34.552231936,271.37,271.43,271.3139,271.43,271.37411769582945,1009769.0,2908.0,274025171.4516,393.0,410.0,165981.0,162151.0,45042165.484000005,44005171.81159999
2018-01-04 14:39:51.112417024,271.4275,271.5,271.36,271.5,271.4493478080731,1010823.0,3417.0,274387244.0993999,450.0,456.0,150083.0,139022.0,40741119.1613,37737196.67809999
2018-01-04 14:43:52.000453888,271.5,271.53,271.34,271.362,271.46182294429104,1009968.0,3176.0,274167754.39539975,406.0,412.0,126858.0,116159.0,34437768.0739,31531872.1665
2018-01-04 14:48:30.341530112,271.3619,271.48,271.26,271.26,271.3822608882162,1009394.0,3874.0,273931625.8470001,530.0,551.0,166536.0,154995.0,45195211.926300004,42062175.4057
2018-01-04 14:52:40.189360896,271.25,271.54,271.25,271.52,271.40717449906515,1015202.0,3991.0,275533106.36579996,349.0,313.0,81051.0,93129.0,21998358.271399997,25274904.080000006
2018-01-04 14:56:47.708532992,271.52,271.76,271.515,271.72,271.6403746349958,1009509.0,3805.0,274223402.95739996,485.0,491.0,147307.0,141704.0,40015395.6992,38492849.31319999
2018-01-04 15:00:57.556638976,271.72,271.86,271.69,271.84,271.79030587914156,1009348.0,3079.0,274331001.6584998,457.0,445.0,149786.0,169306.0,40710632.105299994,46014893.3532
2018-01-04 15:07:46.182158080,271.84,271.85,271.659,271.79,271.7470797270225,1009314.0,3634.0,274278132.0276,436.0,436.0,115174.0,114378.0,31298906.7759,31081775.18169999
2018-01-04 15:13:15.230275072,271.79,271.8453,271.69,271.775,271.77703594922616,1009891.0,2828.0,274465182.61179996,311.0,331.0,109595.0,170709.0,29786112.236199997,46394080.09060002
2018-01-04 15:18:40.308427008,271.78,271.935,271.775,271.81,271.84876884759973,1009354.0,3357.0,274391642.2314002,427.0,452.0,125442.0,182972.0,34103271.144999996,49740173.8314
2018-01-04 15:25:15.256030976,271.81,271.93,271.799,271.9,271.8723267994111,1010664.0,3971.0,274771573.2924,525.0,534.0,175245.0,149749.0,47644619.3164,40712153.647099994
2018-01-04 15:33:21.082256896,271.909,272.0,271.82,271.91,271.91758591177063,1011000.0,4284.0,274908679.3568001,487.0,504.0,140527.0,120330.0,38212191.79899998,32718867.492800012
2018-01-04 15:41:12.250285056,271.9101,272.11,271.91,272.11,272.0245550805382,1009460.0,3679.0,274597907.3716001,419.0,406.0,113561.0,114667.0,30892748.907899998,31192804.0928
2018-01-04 15:49:25.421391104,272.11,272.16,271.93,271.98,272.02641382555026,1242135.0,3742.0,337893529.53719985,423.0,459.0,419934.0,134008.0,114222984.1593,36455560.88289997
2018-01-04 15:56:52.252425984,271.98,271.99,271.81,271.819,271.8877249472751,1009958.0,3375.0,274595182.91230005,366.0,393.0,135701.0,120773.0,36893797.738699995,32836275.94929999
2018-01-04 16:05:27.634114048,271.81,271.92,271.79,271.9,271.8582483608385,1009327.0,3007.0,274393870.2433,380.0,355.0,115220.0,242063.0,31324404.166299995,65802195.24700004
2018-01-04 16:16:53.355947008,271.9,271.92,271.77,271.785,271.8369112906623,1029727.0,3331.0,279917807.1525998,434.0,463.0,158802.0,184522.0,43167555.2943,50156654.30129999
2018-01-04 16:20:17.515183104,271.785,271.79,271.56,271.69,271.6696484616117,1009498.0,2993.0,274249966.78270006,415.0,418.0,194155.0,160571.0,52749362.3831,43623233.004700005
2018-01-04 16:30:15.246414080,271.69,271.72,271.53,271.59,271.6490386994957,1009424.0,3746.0,274209059.24019974,475.0,490.0,127762.0,163979.0,34707619.8471,44542539.5831
2018-01-04 16:38:41.566289920,271.59,271.7,271.43,271.48,271.5656054509122,1009354.0,3739.0,274105830.1243,462.0,479.0,145552.0,147404.0,39529320.012499996,40029318.963800006
2018-01-04 16:50:21.987568896,271.49,271.59,271.475,271.58,271.52137611238714,1009406.0,3465.0,274075306.17610025,368.0,370.0,99303.0,118380.0,26963014.667600006,32142193.893499997
2018-01-04 17:00:06.117274112,271.575,271.64,271.52,271.64,271.56205942980506,1009374.0,2289.0,274107682.17490005,240.0,224.0,415000.0,58361.0,112694419.8462,15848772.013700003
2018-01-04 17:10:20.485794048,271.63,271.89,271.585,271.885,271.7425562918567,1009400.0,3114.0,274296936.32100016,365.0,342.0,140920.0,80715.0,38294560.569599986,21933398.9024
2018-01-04 17:22:39.749856000,271.885,271.885,271.8,271.805,271.83820892677073,1010511.0,2989.0,274695500.34080005,365.0,370.0,153500.0,128418.0,41727350.8787,34908582.0721
2018-01-04 17:30:40.533041920,271.805,271.8081,271.67,271.7,271.7260958419032,1009356.0,2947.0,274268365.19460005,352.0,330.0,169026.0,89170.0,45929385.34199999,24229527.963099994
2018-01-04 17:42:46.267758080,271.7,271.81,271.66,271.81,271.7229645849908,1009411.0,3596.0,274280149.40470016,356.0,323.0,121690.0,67116.0,33066408.9693,18236239.081299998
2018-01-04 17:56:49.759144960,271.81,271.93,271.78,271.87,271.86338202207213,1009410.0,4127.0,274421616.44689983,385.0,371.0,116513.0,86510.0,31675814.599700008,23518407.64419999
2018-01-04 18:13:10.316463104,271.87,271.905,271.77,271.78,271.84283017487184,1009310.0,4131.0,274373686.9237999,382.0,391.0,133230.0,101194.0,36217758.58860001,27507826.8467
2018-01-04 18:32:23.806288896,271.78,271.85,271.73,271.78,271.7982038333977,1010670.0,4421.0,274698290.66830003,438.0,444.0,125232.0,121685.0,34038216.9321,33073886.991199993
2018-01-04 18:52:59.932971008,271.785,271.895,271.78,271.84,271.8305885088317,1009410.0,4256.0,274388514.3466998,440.0,446.0,127368.0,119295.0,34623220.830000006,32427848.30059999
2018-01-04 19:05:37.413005056,271.84,271.97,271.76,271.965,271.8912175026222,1009603.0,3762.0,274502188.8642999,428.0,405.0,117061.0,118700.0,31828470.6346,32273129.042699993
2018-01-04 19:14:12.446765056,271.965,271.98,271.87,271.9,271.92877016243597,1009382.0,3703.0,274480005.88409996,300.0,311.0,82621.0,91403.0,22467300.456000004,24854112.8381
2018-01-04 19:27:52.672816896,271.9,272.06,271.86,271.86,271.9628774534235,1009355.0,3862.0,274507090.1720003,492.0,516.0,131742.0,180746.0,35830694.202099994,49155683.1565
2018-01-04 19:45:30.081562112,271.86,271.92,271.79,271.91,271.8353642444812,1011497.0,3795.0,274960655.42719996,425.0,407.0,124924.0,134954.0,33959828.59639999,36683933.97719998
2018-01-04 20:00:40.250352896,271.9098,271.98,271.82,271.89,271.9025037920307,1009380.0,3925.0,274452949.27759993,377.0,373.0,107706.0,151826.0,29286116.681900006,41281194.475700006
